Temps	Canal A	Canal B
(s)	(V)	(V)

0.00000000	5.09231900	0.01312296
0.00032768	5.09231900	0.01312296
0.00065536	5.09231900	0.01312296
0.00098304	5.09231900	0.01312296
0.00131072	5.09231900	0.01312296
0.00163840	5.00442500	0.01312296
0.00196608	5.00442500	0.01312296
0.00229376	5.09231900	0.01312296
0.00262144	5.09231900	0.01312296
0.00294912	5.09231900	-0.07446516
0.00327680	5.09231900	0.01312296
0.00360448	5.00442500	0.01312296
0.00393216	5.09231900	-0.07446516
0.00425984	5.00442500	0.01312296
0.00458752	5.09231900	0.01312296
0.00491520	5.09231900	0.01312296
0.00524288	5.00442500	0.01312296
0.00557056	5.00442500	-0.07446516
0.00589824	5.09231900	0.01312296
0.00622592	5.09231900	-0.07446516
0.00655360	5.00442500	0.10040590
0.00688128	5.09231900	0.01312296
0.00720896	5.09231900	-0.07446516
0.00753664	5.09231900	-0.07446516
0.00786432	5.09231900	0.01312296
0.00819200	5.09231900	0.01312296
0.00851968	5.09231900	-0.07446516
0.00884736	5.09231900	0.01312296
0.00917504	5.00442500	0.01312296
0.00950272	5.09231900	-0.07446516
0.00983040	5.00442500	0.01312296
0.01015808	5.09231900	-0.07446516
0.01048576	5.09231900	0.01312296
0.01081344	5.00442500	0.01312296
0.01114112	5.00442500	-0.07446516
0.01146880	5.00442500	-0.07446516
0.01179648	5.00442500	0.01312296
0.01212416	5.09231900	0.01312296
0.01245184	5.09231900	0.01312296
0.01277952	5.09231900	-0.07446516
0.01310720	5.09231900	0.18799400
0.01343488	5.00442500	-0.07446516
0.01376256	5.09231900	-0.07446516
0.01409024	5.09231900	-0.07446516
0.01441792	5.00442500	0.01312296
0.01474560	5.09231900	0.10040590
0.01507328	5.09231900	0.01312296
0.01540096	5.09231900	0.01312296
0.01572864	5.00442500	0.01312296
0.01605632	5.00442500	0.01312296
0.01638400	5.00442500	0.01312296
0.01671168	5.00442500	0.01312296
0.01703936	5.09231900	0.01312296
0.01736704	5.09231900	0.01312296
0.01769472	5.09231900	0.01312296
0.01802240	5.09231900	0.01312296
0.01835008	5.09231900	-0.07446516
0.01867776	5.09231900	-0.07446516
0.01900544	5.00442500	0.01312296
0.01933312	5.00442500	0.01312296
0.01966080	5.09231900	0.01312296
0.01998848	5.09231900	0.01312296
0.02031616	5.09231900	-0.07446516
0.02064384	5.09231900	0.01312296
0.02097152	5.09231900	0.01312296
0.02129920	5.09231900	0.01312296
0.02162688	5.09231900	-0.07446516
0.02195456	5.00442500	0.01312296
0.02228224	5.09231900	0.01312296
0.02260992	5.09231900	0.01312296
0.02293760	5.09231900	0.01312296
0.02326528	5.00442500	-0.16174810
0.02359296	5.00442500	0.01312296
0.02392064	5.09231900	0.01312296
0.02424832	5.00442500	0.01312296
0.02457600	5.09231900	0.01312296
0.02490368	5.00442500	-0.07446516
0.02523136	5.00442500	0.01312296
0.02555904	5.09231900	0.01312296
0.02588672	5.09231900	0.01312296
0.02621440	5.09231900	0.01312296
0.02654208	5.09231900	0.01312296
0.02686976	5.09231900	0.01312296
0.02719744	5.09231900	0.01312296
0.02752512	5.09231900	0.01312296
